code,description,merge_explanation,original_code,quote,source
Motivation for Research Contribution,The desire to aid scientific knowledge and future medical advancements through participation in clinical trials.,These codes were merged due to their shared focus on altruistic motivations and the intention to contribute to medical research for the benefit of future patients.,"[""Altruistic Motivation"", ""Contributing to Future Research"", ""Data Contribution""]","[{""text"": ""[{\""text\"": \""You want to help humanity and... help the scientists learn more so that other people could possibly benefit.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I may be helping somebody younger than me or older in a disease that they wouldn't have that information otherwise.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""An avenue to gather data and information, uh, for future use in publications for medical research.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv""}]","10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv"
Multilingual Options,Users express interest in having multilingual options for broader accessibility.,,"[""Multilingual Options""]","[{""text"": ""[{\""text\"": \""Oh, yeah, if it was multilingual. That would be great.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Multilingual Support,Users express the need for multilingual options to cater to diverse populations.,,"[""Multilingual Support""]","[{""text"": ""[{\""text\"": \""I think that would be more credibility to your research to people who... want to hear it in something you\\u2019re more comfortable.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Navigating Health Technology,The aim to effectively use health technology platforms for managing personal health information.,,"[""Navigating Health Technology""]","[{""text"": ""[{\""text\"": \""I use MyChart frequently... I find that my physicians respond to me very quickly.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv""}]",10_R24FG_HM_Individual_GNV_initial_codes.csv
Navigating Healthcare Systems,Users face challenges in navigating healthcare systems and accessing their doctors efficiently.,,"[""Navigating Healthcare Systems""]","[{""text"": ""[{\""text\"": \""It's very hard now to get to see any doctor.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Need for Clarity on Clinical Trials,The user desires clear explanations about clinical trials to better understand their options.,,"[""Need for Clarity on Clinical Trials""]","[{""text"": ""[{\""text\"": \""I don't really understand yet what resource Alex is.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Need for Clarity on Trials,Users seek clear information about the nature and purpose of clinical trials before participating.,,"[""Need for Clarity on Trials""]","[{""text"": ""[{\""text\"": \""It can be totally unrelated.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Need for Clear and Confident Communication,Users seek clear and confident communication from experts to feel reassured.,,"[""Need for Clear and Confident Communication""]","[{""text"": ""[{\""text\"": \""I need a person who is serious, is look, uh, confident.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Need for Comprehensive Follow-Up,Participants seek consolidated health resources and follow-up information to enhance understanding and engagement with clinical trials.,"These codes were merged because they both emphasize the importance of comprehensive information and follow-up support in healthcare interactions, particularly regarding clinical trials.","[""Need for Comprehensive Resources"", ""Need for Follow-Up Information"", ""Interest in Follow-Up Questions""]","[{""text"": ""[{\""text\"": \""It would be better if all the hospital, all the systems, health Florida systems be in one place.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I think I've said that... a little shorter and more to the point.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I like the fact that they could like, send it through MyChart.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv"
Need for Empathy in Communication,"Users emphasize the importance of empathy and warmth in communication, especially regarding sensitive topics.",,"[""Need for Empathy in Communication""]","[{""text"": ""[{\""text\"": \""You need the person with a positive vibe to do the best they can.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Need for Engaging Presentation,Participants desire engaging and relatable presentations of health information.,,"[""Need for Engaging Presentation""]","[{""text"": ""[{\""text\"": \""I would prefer if it was a video and not an AI generation.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Need for Family Support,The participant relies on family members for assistance with managing health information and appointments.,,"[""Need for Family Support""]","[{""text"": ""[{\""text\"": \""If I\\u2019d gotten it on email, I could get my daughter or somebody, you know, print it for me.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Need for Financial Clarity,The interviewee expresses a desire for clarity regarding the financial implications of participating in clinical trials.,,"[""Need for Financial Clarity""]","[{""text"": ""[{\""text\"": \""Some people think it is covered if you participate in a trial.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Need for Follow-Up,Participants value follow-up communication from study teams to feel respected and informed about their contributions.,,"[""Need for Follow-Up""]","[{""text"": ""[{\""text\"": \""You feel kind of disrespected when they don't follow up with you.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Need for More Information,Participants express a desire for more accessible information about clinical trials and their potential benefits.,,"[""Need for More Information""]","[{""text"": ""[{\""text\"": \""I think that, you know, if I had a physician who I trusted, just like what everybody else was saying, I would probably try to go forward.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Need for Options in Communication,Users want the option to choose between AI tools and human interaction based on their needs.,,"[""Need for Options in Communication""]","[{""text"": ""[{\""text\"": \""I'd like to have the option if I have additional questions that I can pick up the phone and talk to a doctor.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Need for Reassurance,Participants seek reassurance about the safety and benefits of participating in clinical trials.,,"[""Need for Reassurance""]","[{""text"": ""[{\""text\"": \""If you're trying to convince someone to join your study, you've got to give them one reassurance that this is a safe thing for you to do.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Negative Feelings about Trials,"Participants express mixed feelings about clinical trials, highlighting both positive and negative experiences that shape their perceptions.",,"[""Negative Feelings about Trials""]","[{""text"": ""[{\""text\"": \""I would say some positive, some negative, so it balances it out.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Overcoming Fear,The goal of addressing and overcoming fears associated with participating in clinical trials.,,"[""Overcoming Fear""]","[{""text"": ""[{\""text\"": \""A tool like this could help people manage their fear of trials.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Participating Altruistically,"The goal is to contribute to medical research for the benefit of others, even if personal gain is not immediate.",,"[""Participating Altruistically""]","[{""text"": ""[{\""text\"": \""If I can help someone else, perhaps even me, in the long run, feel less pain, then I've wanted to do it.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Patient-Centric Communication,Emphasizes the importance of patient autonomy and personal connection in healthcare decision-making and information sharing.,"These codes were merged because they both highlight the significance of patient involvement and emotional engagement in healthcare, promoting informed choices and trust.","[""Value of Patient Autonomy"", ""Importance of Personal Connection""]","[{""text"": ""[{\""text\"": \""Your decision to participate will never change the way your doctors or your team care for you.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""She gave you, it was more inviting, and I would want to listen to what you're saying.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv""}]","14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv"
Patient-Physician Relationship,The importance of a strong rapport with healthcare providers for effective treatment and participation in studies.,,"[""Patient-Physician Relationship""]","[{""text"": ""[{\""text\"": \""The physician needs to earn that trust.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv""}]",10_R24FG_HM_Individual_GNV_initial_codes.csv
Perception of Clinical Trials,"Participants often associate clinical trials with last-resort options for severely ill patients, affecting their willingness to participate.",,"[""Perception of Clinical Trials""]","[{""text"": ""[{\""text\"": \""Most of the time when I hear, it\\u2019s from somebody who's very sick, and they offer them this last-ditch effort.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Personal Experiences and Benefits,"Participants discuss their motivations and outcomes from clinical trials, emphasizing personal experiences and potential benefits.",These codes were merged because they both focus on participants' personal narratives regarding their motivations for joining clinical trials and the perceived benefits they hope to gain.,"[""Personal Experience with Trials"", ""Personal Benefit""]","[{""text"": ""[{\""text\"": \""I started the R-S-V trial in April... it has a little bit of a negative thing for me because of the vaccine.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I don't hesitate to be a participant in a clinical trial if it's offered, you know, because I know the benefits that can come from clinical trials.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv""}]","4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv"
Personal Health Engagement,Users seek insights into their health and are motivated by personal or family health issues.,"These codes were merged because both emphasize the user's desire to understand their health better, particularly in relation to personal and familial health contexts.","[""Gaining Personal Health Insights"", ""Connection to Personal Health""]","[{""text"": ""[{\""text\"": \""I gained additional information about myself and my D-N-A.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""If it was a study that had to do with a personal health history issue or a family health history issue I'd be a little bit more inclined.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Personal Health Insights,The objective of discovering unique personal health traits through medical research.,,"[""Personal Health Insights""]","[{""text"": ""[{\""text\"": \""I would have never known that about myself.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Personal Health Management,The goal of effectively managing personal health information online.,,"[""Personal Health Management""]","[{""text"": ""[{\""text\"": \""I\\u2019m going to [health portal name] every day.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Personalization Options,Users appreciate the ability to tailor their experience and choose what information they want to engage with.,,"[""Personalization Options""]","[{""text"": ""[{\""text\"": \""You need to tailor them to yourself. Right? They should be flexible for everybody.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Personalized Avatar Names,Users prefer personalized names for avatars to create a more relatable experience.,,"[""Personalized Avatar Names""]","[{""text"": ""[{\""text\"": \""If you have two up there, they should have been different names, I think.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Personalized Follow-Up,The participant prefers personalized follow-up communication regarding clinical trials.,,"[""Personalized Follow-Up""]","[{""text"": ""[{\""text\"": \""It doesn't need to be for the entire public. But then, that person will have access.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Personalized Research Options,Users want personalized options based on their health conditions and preferences.,,"[""Personalized Research Options""]","[{""text"": ""[{\""text\"": \""If you have those questions, possibly, or you know, on the same screen having the different wants.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Personalized Resource Recommendations,"Users seek resources and recommendations that align with their identity, health status, and preferences for enhanced relatability.","These codes were merged because both emphasize the importance of personalization in user experiences, whether through identity reflection or tailored recommendations.","[""Desire for Personalization"", ""Receive Personalized Recommendations""]","[{""text"": ""[{\""text\"": \""I want to hear from somebody that kind of looks like me.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I think if that stuff popped up a bit more than you\\u2019d know that it was UF or if it was, you know, one of the others.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv""}]","8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv"
Personalized and Accessible Communication,Participants seek personalized and easily accessible information about clinical trials tailored to their needs.,These codes were merged because both emphasize the importance of tailored communication and accessibility of information for potential clinical trial participants.,"[""Desire for Personalized Communication"", ""Accessibility of Information""]","[{""text"": ""[{\""text\"": \""It needs to be personalized for each person that he's talking to.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""Maybe one of the other steps that could be in there is, okay, these are a few... just have it scroll across the screen.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv""}]","4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv"
Pilot Program Feedback,Users suggest testing new systems in real-world settings to gather feedback and improve functionality.,,"[""Pilot Program Feedback""]","[{""text"": ""[{\""text\"": \""Maybe try it a week in a doctor's office, and then get some feedback.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Positive Attitude Towards Health,The goal of maintaining a positive outlook on health despite ongoing medical challenges.,,"[""Positive Attitude Towards Health""]","[{""text"": ""[{\""text\"": \""His attitude is good, his health, I mean, he's as healthy as he can be.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Positive Clinical Trial Experiences,"Participants reflect on their positive experiences in clinical trials, influencing their perceptions and contributions to medical advancements.","These codes were merged due to their overlapping themes of positive participant experiences in clinical trials, highlighting their impact on future perceptions and contributions to medical research.","[""Positive Clinical Trial Experience"", ""Positive Experience with Trials""]","[{""text"": ""[{\""text\"": \""It was positive. Everything was good. I mean, I have no complaints.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I did that for sixteen years, and I loved it. It was a good experience with both sides.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv""}]","16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv"
Positive Experience with Clinical Trials,"The interviewee expresses a positive sentiment towards clinical trials, viewing them as beneficial for advancing research and improving patient care.",,"[""Positive Experience with Clinical Trials""]","[{""text"": ""[{\""text\"": \""Oh, it's very positive. I worked at the vet school for seventeen years... anything to further the research.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Positive Experience with Research,Participants reflect on their positive experiences with clinical trials and their outcomes.,,"[""Positive Experience with Research""]","[{""text"": ""[{\""text\"": \""For me, it was positive, and I prefer the drops than when my driving glasses at night.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Positive Feedback for Design,Users seek positive language and constructive feedback to enhance medical application design and user experience.,These codes were merged because both emphasize the importance of positive communication and feedback in improving user experience within medical contexts.,"[""Positive Language"", ""Feedback on Application Design""]","[{""text"": ""[{\""text\"": \""I think words have power. And people are often in the medical community using them in a very negative way.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""Is this something that you see will be helpful? You know, is this something that you like?\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv"
Positive Perception of Trials,The user views clinical trials as a positive advancement in medical research.,,"[""Positive Perception of Trials""]","[{""text"": ""[{\""text\"": \""I think it's progress. And it's definitely positive.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Preference for Conversational Tone,"Users prefer a conversational approach to information delivery rather than a formal, scripted style.",,"[""Preference for Conversational Tone""]","[{""text"": ""[{\""text\"": \""It should be more conversational, so it doesn't feel like step one, step two, step three.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Preference for Expert Guidance,Users prefer guidance from experts who can provide reliable information and support.,,"[""Preference for Expert Guidance""]","[{""text"": ""[{\""text\"": \""I would like to talk with an expert.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Preference for Familiar Platforms,The participant prefers using familiar platforms like MyChart for managing health information.,,"[""Preference for Familiar Platforms""]","[{""text"": ""[{\""text\"": \""I like that they\\u2019re still there for you to read.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Preference for Familiarity,The interviewee prefers familiar and relatable presenters in educational materials about clinical trials.,,"[""Preference for Familiarity""]","[{""text"": ""[{\""text\"": \""I would be fine with a female... I have no problem with Alex.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Preference for Human Interaction in Sensitive Situations,Users prefer human interaction over AI for discussing sensitive health issues.,,"[""Preference for Human Interaction in Sensitive Situations""]","[{""text"": ""[{\""text\"": \""To talk about the illness... I want a real person.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Preference for In-Person Interaction,The goal is to have direct communication with healthcare providers rather than relying solely on online resources.,,"[""Preference for In-Person Interaction""]","[{""text"": ""[{\""text\"": \""I prefer to call and make an appointment and go in, and talk to someone directly.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Preference for Personal Interaction,Participants favor engaging with real individuals over AI or virtual communications in health-related discussions.,"These codes were merged due to their shared emphasis on the importance of human interaction in healthcare settings, highlighting a common preference for personal engagement over technology.","[""Preference for Human Interaction"", ""Personal Touch in Communication"", ""Preference for Personal Interaction""]","[{""text"": ""[{\""text\"": \""I want to feel confident; I go see a human being.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}, {\""text\"": \""I think I would have been more comfortable with a real doctor or medical person talking.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv""}, {""text"": ""[{\""text\"": \""If something has come up, and I'm really very worried about it, then I prefer calling.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]","6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv"
Privacy Concerns,Participants express concerns about the privacy of their medical information when considering participation in studies.,,"[""Privacy Concerns""]","[{""text"": ""[{\""text\"": \""I do worry about privacy of medical insurance information.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Privacy Control,Users want control over their personal health information and how it is shared.,,"[""Privacy Control""]","[{""text"": ""[{\""text\"": \""I don\\u2019t want you guys to see my personal information if I don\\u2019t know what the study is.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Quality Medical Care,"The goal of receiving high-quality, attentive medical care that addresses all health concerns effectively.",,"[""Quality Medical Care""]","[{""text"": ""[{\""text\"": \""You're going to get not better care, but more interactive care, because you can read this whole other team of people looking at your stuff.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Quick Access to Information,"Users want immediate access to relevant information without needing to contact their doctors, especially before appointments.",,"[""Quick Access to Information""]","[{""text"": ""[{\""text\"": \""I don\\u2019t want to have to call my doctor and ask him. If I\\u2019ve got an appointment the next day, at least to have a guideline.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Recommendation to Others,The user is open to recommending the resource to friends and family based on its usefulness.,,"[""Recommendation to Others""]","[{""text"": ""[{\""text\"": \""I'd be comfortable recommending it.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Research Participation Clarity,Participants want clear information on whether they qualify for research studies based on their health conditions.,,"[""Research Participation Clarity""]","[{""text"": ""[{\""text\"": \""The first question is, 'Do you want to participate in a research study,' and give a bunch of options.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Research Study Awareness,Users want to be informed about ongoing research studies relevant to their health.,,"[""Research Study Awareness""]","[{""text"": ""[{\""text\"": \""I want to see everything within there, just to get a sense of... the studies that are ongoing.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Safety Concerns,"Participants are apprehensive about the safety of clinical trials, particularly regarding historical injustices in medical testing.",,"[""Safety Concerns""]","[{""text"": ""[{\""text\"": \""I have always been leery of clinical trials because me as an African American, you have heard the horror stories of how drugs were tested on people from the past.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
